clave_lic,licenciatura
9,FÍSICO
50,LICENCIADO EN INFORMÁTICA
24,LICENCIADO EN ACTIVIDAD FÍSICA Y DEPORTE
40,LICENCIADO EN DOCENCIA DE LA LENGUA Y LITERATURA
95,INGENIERÍA INDUSTRIAL
5,CIRUJANO DENTISTA
86,INGENIERIA ELECTRONICA
2,BIOINGENIERIA
20,INGENIERO MECÁNICO
68,NONATECNOLOGÍA
10,INGENIERO AEROESPACIAL
17,INGENIERO EN MECATRÓNICA
88,INGENIERIA EN SISTEMAS COMPUTACIONALES
80,EDUCACIÓN PREESCOLAR
54,LICENCIADO EN MERCADOTECNIA
88,INGENIERIA ELECTROMECANICA
97,COMERCIO EXTERIOR Y ADUANAS
56,LICENCIADO EN NEGOCIOS INTERNACIONALES
42,LICENCIADO EN DOCENCIA DE LA MATEMÁTICA
70,QUÍMICO FARMACOBIÓLOGO
25,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS
57,LICENCIADO EN PSICOLOGÍA
34,LICENCIADO EN CONTADURÍA
1,ARQUITECTO
69,OCEANÓLOGO
28,LICENCIADO EN ASESORÍA PSICOPEDAGÓGICA
65,MÉDICO
39,LICENCIADO EN DOCENCIA DE IDIOMAS
87,INGENIERIA MECATRONICA
37,LICENCIADO EN DISEÑO GRÁFICO
96,INGENIERÍA EN TECNOLOGÍA DE LA MANUFACTURA
32,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN
49,LICENCIADO EN HISTORIA
19,INGENIERO INDUSTRIAL
13,INGENIERO CIVIL
52,LICENCIADO EN MATEMÁTICAS APLICADAS
58,LICENCIADO EN RELACIONES INTERNACIONALES
11,INGENIERO AGRÓNOMO
85,LICENCIADO EN DERECHO
45,LICENCIADO EN ENFERMERÍA
15,INGENIERO EN COMPUTACIÓN
92,NEGOCIOS
99,INGENIERA MECATRÓNICA
48,LICENCIADO EN GESTIÓN TURÍSTICA
98,PSICOLOGÍA
60,LICENCIADO EN SOCIOLOGÍA
90,INGENIERÍA EN SISTEMAS COMPUTACIONALES
82,CRIMINALÍSTICA
66,MÉDICO VETERINARIO ZOOTECNISTA
81,INGENIERÍA CIBERNÉTICA ELECTRÓNICA
84,PSICOLOGÍA
18,INGENIERO ENERGIAS RENOVABLES
71,QUÍMICO INDUSTRIAL
83,EDUCACIÓN
44,LICENCIADO EN ECONOMÍA
30,LICENCIADO EN CIENCIAS COMPUTACIONALES
4,BIOTECNÓLOGO EN ACUACULTURA
16,INGENIERO EN ELECTRÓNICA
36,LICENCIADO EN DERECHO
93,INGENIERIA EN NANOTECNOLOGIA
3,BIÓLOGO
91,INGENIERIA MECANICA
31,LICENCIADO EN CIENCIAS DE LA COMUNICACIÓN
89,INGENIERÍA INDUSTRIAL
29,LICENCIADO EN CIENCIAS AMBIENTALES
94,INGENIERIA EN CIENCIAS COMPUTACIONALES Y TELECOMUNICACIONES
98,PSICOLOGIA
97,INGENIERÍA EN ENERGÍAS RENOVABLES
47,LICENCIADO EN GASTRONOMÍA
64,LICENCIADO EN TURISMO
59,LICENCIADO EN SISTEMAS COMPUTACIONALES