clave_uni,num_unidad,unidad,campus
11,400,FACULTAD DE CIENCIAS,1
11,103,FACULTAD DE CIENCIAS ADMINISTRATIVAS,3
11,340,ESCUELA DE DEPORTES (TIJUANA),2
11,108,FACULTAD DE PEDAGOGIA E INNOVACION EDUCATIVA,3
13,1,N/A,1
11,107,FACULTAD DE ODONTOLOGIA,3
4,50,N/A,1
11,402,"FACULTAD DE INGENIERIA, ARQUITECTURA Y DISEÃ‘O",1
11,301,FACULTAD DE CONTADURIA Y ADMINISTRACION,2
11,351,CENTRO DE INGENIERIA Y TECNOLOGIA VALLE DE LAS PALMAS CITEC,2
11,105,FACULTAD DE INGENIERIA,3
4,51,N/A,1
25,52,N/A,1
4,53,N/A,1
11,306,FACULTAD DE TURISMO Y MERCADOTECNIA,2
4,54,N/A,1
7,55,N/A,2
11,300,FACULTAD DE CIENCIAS QUIMICAS  E INGENIERIA,2
11,350,CENTRO DE CIENCIAS DE LA SALUD VALLE DE LAS PALMAS CISALUD,2
11,430,FACULTAD DE INGENIERIA Y NEGOCIOS SAN QUINTIN,1
11,401,FACULTAD DE CIENCIAS MARINAS,1
4,56,N/A,1
25,57,N/A,1
11,304,FACULTAD DE MEDICINA Y PSICOLOGIA(TIJUANA),2
11,419,FACULTAD DE IDIOMAS (ENSENADA),1
4,58,N/A,1
10,59,N/A,3
11,414,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,1
11,326,FACULTAD DE HUMANIDADES (TIJUANA),2
11,106,FACULTAD  DE MEDICINA,3
11,100,FACULTAD DE ARQUITECTURA Y DISENO,3
25,60,N/A,1
4,61,N/A,1
11,102,FACULTAD DE CIENCIAS SOCIALES Y POLITICAS,3
25,62,N/A,1
4,63,N/A,1
10,64,N/A,3
10,65,N/A,3
4,66,N/A,1
4,67,N/A,1
10,68,N/A,3
8,69,N/A,2
11,439,ESCUELA DE CIENCIAS DE LA SALUD (ENSENADA),1
4,70,N/A,1
4,71,N/A,1
3,72,N/A,3
12,73,N/A,2
11,149,ESCUELA DE DEPORTES (MEXICALI),3
11,115,FACULTAD DE IDIOMAS (MEXICALI),3
11,431,ESCUELA DE DEPORTES (ENSENADA),1
7,74,N/A,2
7,75,N/A,2
3,76,N/A,3
3,77,N/A,3
6,78,N/A,2
11,201,INSTITUTO DE INVESTIGACIONES EN CIENCIAS VETERINARIAS,3
1,79,N/A,2
6,80,N/A,1
7,81,N/A,2
6,82,N/A,1
13,83,N/A,1
11,303,FACULTAD DE ECONOMIA Y RELACIONES INTERNACIONALES,2
4,84,N/A,1
1,85,N/A,2
7,86,N/A,2
4,87,N/A,1
4,88,N/A,1
4,2,N/A,1
4,3,N/A,1
11,101,FACULTAD DE CIENCIAS HUMANAS,3
4,4,N/A,1
10,5,N/A,3
11,200,INSTITUTO DE CIENCIAS AGRICOLAS,3
6,6,N/A,2
4,7,N/A,1
2,8,N/A,2
2,9,N/A,2
3,10,N/A,3
25,11,N/A,1
3,12,N/A,3
11,109,FACULTAD DE ENFERMERIA,3
13,13,N/A,1
4,14,N/A,1
4,15,N/A,1
10,16,N/A,3
10,17,N/A,3
3,18,N/A,3
2,19,N/A,2
4,20,N/A,1
4,21,N/A,1
4,22,N/A,1
4,23,N/A,1
10,24,N/A,3
13,25,N/A,1
3,26,N/A,3
3,27,N/A,3
4,28,N/A,1
4,29,N/A,1
6,30,N/A,2
13,31,N/A,1
4,32,N/A,1
4,33,N/A,1
7,34,N/A,2
4,35,N/A,1
2,36,N/A,2
4,37,N/A,1
6,38,N/A,2
2,39,N/A,2
4,40,N/A,1
10,41,N/A,3
25,42,N/A,1
25,43,N/A,1
10,44,N/A,3
12,45,N/A,2
6,46,N/A,2
11,440,ESCUELA DE ENOLOGIA Y GASTRONOMIA,1
4,47,N/A,1
11,104,FACULTAD DE DERECHO,3
10,48,N/A,3
4,49,N/A,1